treatment_key,year,location,test_id,experiment_name,watered,planting_date,digging_date,test_entry,variety_key,variety,treatment,block,plot_number,plot_weight,total_seed_weight,total_seed_count,calc_seed_weight_200,seed_weight_200,seed_weight_100,seed_per_pound,peanut_yield,moisture,tsmk,ok,dk,elk,fancy,maturity_code,maturity,market_type,plot_harvest_length,plot_harvest_width,plots_per_acre,plot_row_number,plot_column_number,notes,plots
TifNV-High O/Lø707PN21-414,2021,Plains,707PN,707PN21,TRUE,,10/19/2021,,,TifNV-High O/L,,4,414,11.5,,,-9,,,-9,4175,,,,,,,5,M,Runner,20,6,363,,,,
Titanø608PN13-620,2013,Tifton,608PN,608PN13,FALSE,,9/13/2013,113,,Titan,,6,620,11.5,,,-9,,,-9,4175,7,,,,,,4,M-,Virginia,20,6,363,,,,
TufRunnerTM '297'ø707PN18-208,2018,Plains,707PN,707PN18,TRUE,,10/17/2018,235,,TufRunnerTM '297',,2,208,11.5,,,-9,,,-9,4175,,,,,,,,Unknown,Runner,20,6,363,,,,
TufRunnerTM '297'ø707PN21-405,2021,Plains,707PN,707PN21,TRUE,,10/19/2021,,,TufRunnerTM '297',,4,405,11.5,,,-9,,,-9,4175,,,,,,,5,M,Runner,20,6,363,,,,
UF 15303ø708PN19-407,2019,Plains,708PN,708PN19,FALSE,,10/7/2019,269,,UF 15303,,4,407,11.5,,,-9,,,-9,4175,,,,,,,5,M,Runner,20,6,363,,,,
Georgia-06Gø508PN15-103,2015,Midville,508PN,508PN15,FALSE,,10/21/2015,70,,Georgia-06G,,1,103,11.52,,,-9,,,-9,4182,7,,,,,,5,M,Runner,20,6,363,,,,
TufRunnerTM '511'ø508PN15-124,2015,Midville,508PN,508PN15,FALSE,,10/21/2015,234,,TufRunnerTM '511',,1,124,11.52,,,-9,,,-9,4182,7,,,,,,5,M,Runner,20,6,363,,,,
UF13302ø508PN15-226,2015,Midville,508PN,508PN15,FALSE,,10/21/2015,243,,UF13302,,2,226,11.52,,,-9,,,-9,4182,7,,,,,,5,M,Runner,20,6,363,,,,
Baileyø508PN16-210,2016,Midville,508PN,508PN16,FALSE,,9/28/2016,110,,Bailey,,2,210,11.52222222,,,-9,,,-9,4183,7,,,,,,4,M-,Virginia,20,6,363,,,,
Wynneø508PN16-212,2016,Midville,508PN,508PN16,FALSE,,9/28/2016,236,,Wynne,,2,212,11.52222222,,,-9,,,-9,4183,7,,,,,,4,M-,Virginia,20,6,363,,,,
FloRunTM 'T61'ø608PN25-423,2025,Tifton,608PN,608PN25,FALSE,5/15/2025,10/7/2025,113,1030,FloRunTM 'T61',,4,423,11.52536313,-9,-9,-9,-9,,-9,4184,,-9,-9,-9,-9,-9,5,M,Runner,20,6,363,7,1,,
TifNV-HGø608PN25-106,2025,Tifton,608PN,608PN25,FALSE,5/15/2025,10/7/2025,106,1128,TifNV-HG,,1,106,11.52536313,-9,-9,-9,-9,,-9,4184,,-9,-9,-9,-9,-9,5,M,Runner,20,6,363,1,17,,
TifNV-High O/Lø608PN25-602,2025,Tifton,608PN,608PN25,FALSE,5/15/2025,10/7/2025,96,1129,TifNV-High O/L,,6,602,11.52536313,496.9,842,118.0285036,-9,,768.6149639,4184,,74,3,1,-9,-9,5,M,Runner,20,6,363,3,2,,
